#					E^-x values and Relative Errors for all three methods
#Truncation Value N      Method 1   Method2              Method3    Relative Error1   Relative Error2    Relative Error3

       10             2.50311e+13    2.50311e+13        3.26986e-14     6.72865e+56   6.72865e+56         8.78976e+29
       20             3.42045e+21    3.42045e+21        1.95222e-22     9.19456e+64   9.19456e+64         5.2478e+21
       30             2.89479e+27    2.89479e+27         1.8677e-28     7.78153e+70   7.78153e+70         5.02061e+15
       40             8.7364e+31    8.7364e+31          4.94714e-33     2.34845e+75   2.34845e+75         1.32985e+11
       50             2.18706e+35    2.18706e+35         1.549e-36     5.87908e+78   5.87908e+78          4.1639e+07
       60             7.49343e+37    7.49343e+37         3.44062e-39     2.01432e+81   2.01432e+81          92487
       70             4.89878e+39    4.89878e+39             0           1.31685e+83   1.31685e+83           1
       80             7.74323e+40    7.74323e+40             0           2.08147e+84   2.08147e+84           1
       90             3.53365e+41    3.53365e+41             0           9.49886e+84   9.49886e+84           1
       100             5.34412e+41    5.34412e+41            0           1.43656e+85   1.43656e+85           1 
       110             2.99072e+41    2.99072e+41            0           8.03941e+84   8.03941e+84           1
       120             6.77803e+40    6.77803e+40            0          1.82201e+84   1.82201e+84            1
       130             6.7067e+39    6.7067e+39              0           1.80284e+83   1.80284e+83           1
       140             3.0876e+38    3.0876e+38              0           8.29983e+81   8.29983e+81           1
       150             6.98429e+36    6.98429e+36            0           1.87746e+80   1.87746e+80           1 
       160             -nan(ind)    8.13843e+34              0               nan       2.18771e+78           1
       170             -nan(ind)    5.09143e+32              0               nan       1.36864e+76           1
       180             -nan(ind)    1.77364e+30              0               nan       4.76775e+73           1
       190             -nan(ind)    3.52496e+27              0               nan       9.47552e+70           1
       200             -nan(ind)    -2.49204e+25             0               nan       6.69888e+68           1
       210             -nan(ind)    -2.91345e+25             0               nan       7.8317e+68            1
       220             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       230             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       240             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       250             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       260             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       270             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       280             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       290             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
       300             -nan(ind)    -2.91376e+25             0               nan       7.83252e+68           1
