#                                   E^-x values and Relative Errors for all three methods
#Truncation Value N      Method 1   Method2               Method3      Relative Error1   Relative Error2    Relative Error3

       10             2.23623e+10    2.23623e+10           2.99024e-11     1.15942e+32   1.15942e+32    1.55035e+11
       20             2.78831e+15    2.78831e+15           1.5615e-16     1.44566e+37   1.44566e+37    809593
       30             2.18402e+18    2.18402e+18           1.20999e-19     1.13235e+40   1.13235e+40    626.342
       40             6.16193e+19    6.16193e+19           2.24091e-21     3.19478e+41   3.19478e+41    10.6184
       50             1.45281e+20    1.45281e+20           3.58826e-22     7.53237e+41   7.53237e+41    0.860407
       60             4.71451e+19    4.71451e+19           2.07875e-22     2.44434e+41   2.44434e+41    0.077772
       70             2.932e+18    2.932e+18                1.9345e-22     1.52015e+40   1.52015e+40    0.00297945
       80             4.42421e+16    4.42421e+16           1.92882e-22     2.29383e+38   2.29383e+38    3.43142e-05
       90             1.93289e+14    1.93289e+14           1.92875e-22     1.00215e+36   1.00215e+36    1.54414e-07
       100             2.80505e+11    2.80505e+11          1.92875e-22     1.45434e+33   1.45434e+33    2.35333e-08
       110             1.50974e+08    1.50937e+08         1.92875e-22     7.82758e+29   7.82563e+29    2.35333e-08
       120             81583.6          44012.8           1.92875e-22     4.22987e+26   2.28193e+26    2.35333e-08
       130             48646.9        11076.1           1.92875e-22     2.5222e+26      5.74262e+25    2.35333e-08
       140             48643.7        11072.9           1.92875e-22     2.52203e+26      5.74099e+25    2.35333e-08
       150             48643.7        11072.9           1.92875e-22     2.52203e+26      5.74099e+25    2.35333e-08
       160             48643.7        11072.9           1.92875e-22     2.52203e+26      5.74099e+25    2.35333e-08
       170             48643.7        11072.9           1.92875e-22     2.52203e+26      5.74099e+25    2.35333e-08
       180             48643.7        11072.9           1.92875e-22     2.52203e+26       5.74099e+25    2.35333e-08
       190             -nan(ind)      11072.9           1.92875e-22         nan            5.74099e+25    2.35333e-08
       200             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       210             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       220             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       230             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       240             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       250             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       260             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       270             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       280             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       290             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
       300             -nan(ind)      11072.9           1.92875e-22         nan           5.74099e+25    2.35333e-08
