x 	 Solution 	 Analytic_sol 	 Log10(Relative Error) 
0		0		0
0.00990099	0.00989987	0.0099005	-4.19386
0.019802	0.0197968	0.019798	-4.19604
0.029703	0.0296877	0.0296896	-4.19822
0.039604	0.0395696	0.0395721	-4.20038
0.049505	0.0494391	0.0494422	-4.20255
0.0594059	0.0592932	0.0592969	-4.20471
0.0693069	0.0691283	0.0691326	-4.20686
0.0792079	0.0789411	0.0789459	-4.20901
0.0891089	0.0887279	0.0887334	-4.21116
0.0990099	0.0984853	0.0984914	-4.2133
0.108911	0.10821	0.108216	-4.21544
0.118812	0.117897	0.117904	-4.21757
0.128713	0.127543	0.127551	-4.2197
0.138614	0.137144	0.137153	-4.22182
0.148515	0.146697	0.146705	-4.22394
0.158416	0.156196	0.156205	-4.22605
0.168317	0.165638	0.165647	-4.22816
0.178218	0.175017	0.175028	-4.23027
0.188119	0.184331	0.184342	-4.23237
0.19802	0.193573	0.193585	-4.23446
0.207921	0.20274	0.202752	-4.23655
0.217822	0.211827	0.211839	-4.23864
0.227723	0.220828	0.22084	-4.24072
0.237624	0.229738	0.229751	-4.2428
0.247525	0.238553	0.238567	-4.24487
0.257426	0.247267	0.247281	-4.24694
0.267327	0.255874	0.255889	-4.249
0.277228	0.26437	0.264385	-4.25106
0.287129	0.272748	0.272763	-4.25311
0.29703	0.281003	0.281019	-4.25516
0.306931	0.289129	0.289145	-4.25721
0.316832	0.297119	0.297136	-4.25925
0.326733	0.304968	0.304985	-4.26128
0.336634	0.312669	0.312686	-4.26331
0.346535	0.320217	0.320234	-4.26534
0.356436	0.327603	0.327621	-4.26736
0.366337	0.334822	0.33484	-4.26938
0.376238	0.341866	0.341884	-4.27139
0.386139	0.348729	0.348748	-4.2734
0.39604	0.355404	0.355422	-4.2754
0.405941	0.361882	0.361901	-4.2774
0.415842	0.368157	0.368177	-4.27939
0.425743	0.374221	0.374241	-4.28138
0.435644	0.380067	0.380086	-4.28337
0.445545	0.385685	0.385705	-4.28535
0.455446	0.391069	0.391089	-4.28732
0.465347	0.396209	0.396229	-4.28929
0.475248	0.401097	0.401118	-4.29126
0.485149	0.405725	0.405746	-4.29322
0.49505	0.410084	0.410105	-4.29518
0.50495	0.414164	0.414185	-4.29713
0.514851	0.417957	0.417978	-4.29908
0.524752	0.421454	0.421475	-4.30102
0.534653	0.424643	0.424664	-4.30296
0.544554	0.427517	0.427538	-4.30489
0.554455	0.430064	0.430085	-4.30682
0.564356	0.432275	0.432296	-4.30875
0.574257	0.434139	0.434161	-4.31067
0.584158	0.435646	0.435668	-4.31258
0.594059	0.436785	0.436806	-4.31449
0.60396	0.437545	0.437566	-4.3164
0.613861	0.437914	0.437936	-4.3183
0.623762	0.437882	0.437903	-4.3202
0.633663	0.437436	0.437457	-4.32209
0.643564	0.436565	0.436586	-4.32398
0.653465	0.435256	0.435277	-4.32586
0.663366	0.433498	0.433518	-4.32774
0.673267	0.431277	0.431297	-4.32961
0.683168	0.42858	0.4286	-4.33148
0.693069	0.425396	0.425415	-4.33334
0.70297	0.421709	0.421729	-4.3352
0.712871	0.417507	0.417526	-4.33706
0.722772	0.412776	0.412795	-4.33891
0.732673	0.407501	0.40752	-4.34075
0.742574	0.401669	0.401687	-4.3426
0.752475	0.395264	0.395282	-4.34443
0.762376	0.388271	0.388289	-4.34626
0.772277	0.380676	0.380693	-4.34809
0.782178	0.372463	0.37248	-4.34992
0.792079	0.363616	0.363632	-4.35173
0.80198	0.354118	0.354134	-4.35355
0.811881	0.343955	0.34397	-4.35536
0.821782	0.333107	0.333122	-4.35716
0.831683	0.32156	0.321574	-4.35896
0.841584	0.309295	0.309308	-4.36076
0.851485	0.296294	0.296307	-4.36255
0.861386	0.282541	0.282553	-4.36433
0.871287	0.268015	0.268027	-4.36611
0.881188	0.2527	0.252711	-4.36789
0.891089	0.236575	0.236585	-4.36966
0.90099	0.219622	0.219631	-4.37143
0.910891	0.20182	0.201829	-4.3732
0.920792	0.18315	0.183158	-4.37495
0.930693	0.163591	0.163598	-4.37671
0.940594	0.143123	0.143129	-4.37846
0.950495	0.121724	0.121729	-4.3802
0.960396	0.0993724	0.0993765	-4.38194
0.970297	0.0760469	0.07605	-4.38368
0.980198	0.0517248	0.051727	-4.38541
0.990099	0.0263836	0.0263847	-4.38714
1		0		0
