Time	y(t)
0.0000	0.500000
0.0010	0.500250
0.0020	0.500500
0.0030	0.500750
0.0040	0.501000
0.0050	0.501250
0.0060	0.501500
0.0070	0.501750
0.0080	0.502000
0.0090	0.502250
0.0100	0.502500
0.0110	0.502750
0.0120	0.503000
0.0130	0.503250
0.0140	0.503500
0.0150	0.503750
0.0160	0.504000
0.0170	0.504250
0.0180	0.504500
0.0190	0.504750
0.0200	0.505000
0.0210	0.505250
0.0220	0.505500
0.0230	0.505750
0.0240	0.506000
0.0250	0.506250
0.0260	0.506500
0.0270	0.506750
0.0280	0.507000
0.0290	0.507249
0.0300	0.507499
0.0310	0.507749
0.0320	0.507999
0.0330	0.508249
0.0340	0.508499
0.0350	0.508749
0.0360	0.508999
0.0370	0.509249
0.0380	0.509499
0.0390	0.509749
0.0400	0.509999
0.0410	0.510249
0.0420	0.510498
0.0430	0.510748
0.0440	0.510998
0.0450	0.511248
0.0460	0.511498
0.0470	0.511748
0.0480	0.511998
0.0490	0.512248
0.0500	0.512497
0.0510	0.512747
0.0520	0.512997
0.0530	0.513247
0.0540	0.513497
0.0550	0.513747
0.0560	0.513996
0.0570	0.514246
0.0580	0.514496
0.0590	0.514746
0.0600	0.514996
0.0610	0.515245
0.0620	0.515495
0.0630	0.515745
0.0640	0.515995
0.0650	0.516244
0.0660	0.516494
0.0670	0.516744
0.0680	0.516993
0.0690	0.517243
0.0700	0.517493
0.0710	0.517743
0.0720	0.517992
0.0730	0.518242
0.0740	0.518492
0.0750	0.518741
0.0760	0.518991
0.0770	0.519240
0.0780	0.519490
0.0790	0.519740
0.0800	0.519989
0.0810	0.520239
0.0820	0.520489
0.0830	0.520738
0.0840	0.520988
0.0850	0.521237
0.0860	0.521487
0.0870	0.521736
0.0880	0.521986
0.0890	0.522235
0.0900	0.522485
0.0910	0.522734
0.0920	0.522984
0.0930	0.523233
0.0940	0.523483
0.0950	0.523732
0.0960	0.523982
0.0970	0.524231
0.0980	0.524480
0.0990	0.524730
0.1000	0.524979
0.1010	0.525229
0.1020	0.525478
0.1030	0.525727
0.1040	0.525977
0.1050	0.526226
0.1060	0.526475
0.1070	0.526725
0.1080	0.526974
0.1090	0.527223
0.1100	0.527472
0.1110	0.527722
0.1120	0.527971
0.1130	0.528220
0.1140	0.528469
0.1150	0.528718
0.1160	0.528968
0.1170	0.529217
0.1180	0.529466
0.1190	0.529715
0.1200	0.529964
0.1210	0.530213
0.1220	0.530462
0.1230	0.530711
0.1240	0.530960
0.1250	0.531209
0.1260	0.531458
0.1270	0.531707
0.1280	0.531956
0.1290	0.532205
0.1300	0.532454
0.1310	0.532703
0.1320	0.532952
0.1330	0.533201
0.1340	0.533450
0.1350	0.533699
0.1360	0.533948
0.1370	0.534197
0.1380	0.534445
0.1390	0.534694
0.1400	0.534943
0.1410	0.535192
0.1420	0.535440
0.1430	0.535689
0.1440	0.535938
0.1450	0.536187
0.1460	0.536435
0.1470	0.536684
0.1480	0.536933
0.1490	0.537181
0.1500	0.537430
0.1510	0.537678
0.1520	0.537927
0.1530	0.538176
0.1540	0.538424
0.1550	0.538673
0.1560	0.538921
0.1570	0.539170
0.1580	0.539418
0.1590	0.539666
0.1600	0.539915
0.1610	0.540163
0.1620	0.540412
0.1630	0.540660
0.1640	0.540908
0.1650	0.541157
0.1660	0.541405
0.1670	0.541653
0.1680	0.541901
0.1690	0.542150
0.1700	0.542398
0.1710	0.542646
0.1720	0.542894
0.1730	0.543142
0.1740	0.543391
0.1750	0.543639
0.1760	0.543887
0.1770	0.544135
0.1780	0.544383
0.1790	0.544631
0.1800	0.544879
0.1810	0.545127
0.1820	0.545375
0.1830	0.545623
0.1840	0.545871
0.1850	0.546119
0.1860	0.546366
0.1870	0.546614
0.1880	0.546862
0.1890	0.547110
0.1900	0.547358
0.1910	0.547605
0.1920	0.547853
0.1930	0.548101
0.1940	0.548348
0.1950	0.548596
0.1960	0.548844
