#Thermodynamic quantities for diff J values
#J		E		M		Cb		Susc
0.00		0.0000		0.0000		0.0000		1.9600
0.10		-0.0204		0.0001		0.0215		1.5333
0.20		-0.0860		0.0010		0.1025		2.9139
0.30		-0.2122		0.0026		0.2892		6.8839
0.32		-0.2469		0.0039		0.3342		9.3145
0.34		-0.2872		0.0040		0.4386		13.0101
0.36		-0.3313		0.0090		0.5302		18.5270
0.38		-0.3845		0.0021		0.6768		30.6335
0.40		-0.4478		0.0519		1.0457		56.9816
0.42		-0.5381		0.0610		1.5902		127.4505
0.44		-0.6390		0.4861		1.6716		117.4973
0.46		-0.7306		0.8238		1.1524		3.4458
0.48		-0.8046		0.8769		0.9303		1.8366
0.50		-0.8685		0.9039		0.8001		1.6850
0.52		-0.9338		0.9331		0.5850		0.4170
0.54		-0.9903		0.9478		0.5139		0.2894
0.56		-1.0441		0.9586		0.4283		0.1888
0.58		-1.0953		0.9669		0.3864		0.1459
0.60		-1.1462		0.9740		0.3014		0.0940
0.70		-1.3754		0.9904		0.1582		0.0280
0.80		-1.5881		0.9961		0.0808		0.0094
0.90		-1.7942		0.9983		0.0431		0.0037
1.00		-1.9972		0.9993		0.0219		0.0015
1.10		-2.1987		0.9997		0.0111		0.0015
